shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1025943,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.313,2.808,60.489,43.207,1.491,0,-20.023,-14.988,50,-10.159,NA,1570808764.820,0,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025944,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,4,NA,-22.495,15.605,80.517,57.512,0.775,0,50,-3.922,-20.023,-14.988,NA,1570808766.219,1.3990001678466797,0,29.313,2.808,50,-10.159,NA,NA,Forehand,Narrow 60 MPH,NA,Down the Line
1025945,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.5,-1.102,61.073,43.623,1.611,0,-20.023,-14.988,49.624,-3.964,NA,1570808768.362,2.1429998874664307,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025946,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-36.326,0.827,66.67,47.622,2.241,0,46.212,-4.486,-20.023,-14.988,NA,1570808769.858,1.496000051498413,0,29.5,-1.102,49.624,-3.964,NA,NA,Forehand,Narrow 60 MPH,NA,Cross Court
1025947,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.541,3.597,61.81,44.15,1.914,0,-20.023,-14.988,50,-2.304,NA,1570808771.769,1.9110000133514404,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025947,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,12.477,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,30.541,3.597,50,-2.304,29.5,-1.102,Forehand,Narrow 60 MPH,NA,Down the Line
1025948,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.741,-1.23,58.549,41.821,1.553,0,-35.109,-0.908,50,-7.049,NA,1570808775.292,3.5230000019073486,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025949,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-28.403,7.638,73.446,52.462,1.965,0,50,-5.861,-17.804,3.772,NA,1570808780.250,4.95799994468689,0,29.741,-1.23,50,-7.049,30.541,3.597,Forehand,Narrow 60 MPH,NA,Cross Court
1025950,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.566,-0.907,62.784,44.846,1.454,0,-17.804,3.772,50,-8.414,NA,1570808782.329,2.0789999961853027,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025951,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,0,NA,-46.835,4.058,70.824,50.589,4.549,0,46.721,-3.577,-17.804,3.772,NA,1570808784.051,1.7220001220703125,0,29.566,-0.907,50,-8.414,29.741,-1.23,Forehand,Narrow 60 MPH,NA,Cross Court
1025952,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,27.535,3.601,59.252,42.323,1.289,0,-17.804,3.772,50,-2.296,NA,1570808785.659,1.6079998016357422,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025952,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,3.546,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,27.535,3.601,50,-2.296,29.566,-0.907,Forehand,Narrow 60 MPH,NA,Down the Line
1025953,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,27.136,-0.774,57.524,41.088,1.226,0,-31.09,6.031,50,-5.29,NA,1570808789.230,3.571000099182129,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025954,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.212,-0.815,57.043,40.745,4.491,0,50,-13.697,-31.062,5.972,NA,1570808791.113,1.8829998970031738,0,27.136,-0.774,50,-5.29,27.535,3.601,Forehand,Narrow 60 MPH,NA,Down the Line
1025955,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,28.89,2.906,58.054,41.467,1.566,0,-31.062,5.972,50,-12.255,NA,1570808792.733,1.6200001239776611,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025955,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,6.173,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,28.89,2.906,50,-12.255,27.136,-0.774,Forehand,Narrow 60 MPH,NA,Down the Line
1025956,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.34,3.761,65.998,47.141,1.263,0,-27.976,11.074,50,-6.279,NA,1570808799.442,6.708999872207642,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025957,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.014,4.114,82.96,59.257,1.527,0,26.955,6.847,-31.943,6.538,NA,1570808804.078,4.636000156402588,0,29.34,3.761,50,-6.279,28.89,2.906,Forehand,Narrow 60 MPH,NA,Down the Line
